Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
21OV12_F,52AW00/21SBS_AO:21OV12_F.PNT\hist00,,,,,,,,0,1600,,,,,,
21OV12_FQD,52AW00/21SBS_AO:21OV12_FQD.PNT\hist00,,,,,,,,0,32,,,,,,
21OV12_FQM,52AW00/21SBS_AO:21OV12_FQM.PNT\hist00,,,,,,,,0,1000,,,,,,
21OV12_KF,52AW00/21SBS_AO:21OV12_KF.PNT\hist00,,,,,,,,0,500,,,,,,
21OV12_KFD,52AW00/21SBS_AO:21OV12_KFD.PNT\hist00,,,,,,,,0,500,,,,,,
21OV12_KFM,52AW00/21SBS_AO:21OV12_KFM.PNT\hist00,,,,,,,,0,500,,,,,,
21PS178,52AW00/21SBS_AO:21PS178.PNT\hist00,,,,,,,,0,16,,,,,,
21PS179,52AW00/21SBS_AO:21PS179.PNT\hist00,,,,,,,,0,1.60000002,,,,,,
21PS180,52AW00/21SBS_AO:21PS180.PNT\hist00,,,,,,,,0,3,,,,,,
21PV_F,52AW00/21SBS_AO:21PV_F.PNT\hist00,,,,,,,,0,50,,,,,,
21PV_FQD,52AW00/21SBS_AO:21PV_FQD.PNT\hist00,,,,,,,,0,1250,,,,,,
21PV_FQM,52AW00/21SBS_AO:21PV_FQM.PNT\hist00,,,,,,,,0,40000,,,,,,
21PV_KF,52AW00/21SBS_AO:21PV_KF.PNT\hist00,,,,,,,,0,8,,,,,,
21PV_KFD,52AW00/21SBS_AO:21PV_KFD.PNT\hist00,,,,,,,,0,8,,,,,,
21PV_KFM,52AW00/21SBS_AO:21PV_KFM.PNT\hist00,,,,,,,,0,8,,,,,,
21LS131,52AW00/21SBS_AOK:21LS131.PNT\hist00,,,,,,,,-315,315,,,,,,
21TS101,52AW00/21SBS_AOK:21TS101.PNT\hist00,,,,,,,,0,400,,,,,,
21TS174,52AW00/21SBS_AOK:21TS174.PNT\hist00,,,,,,,,0,1100,,,,,,
21FC107,52AW00/21UKST:21FC107.PNT\hist00,,,,,,,,0,15679.609375,,,,,,
21FCC_F171,52AW00/21UKST:21FCC_F171.PNT\hist00,,,,,,,,0,2012.78491211,,,,,,
21FCC_T174,52AW00/21UKST:21FCC_T174.PNT\hist00,,,,,,,,0,1100,,,,,,
21FCC_TS174,52AW00/21UKST:21FCC_TS174.PNT\hist00,,,,,,,,0,1100,,,,,,
21G171,52AW00/21UKST:21G171.PNT\hist00,,,,,,,,0,100,,,,,,
21NG_KF,52AW00/21UKST:21NG_KF.PNT\hist00,,,,,,,,0,1000,,,,,,
21NG_KFD,52AW00/21UKST:21NG_KFD.PNT\hist00,,,,,,,,0,1000,,,,,,
21NG_KFM,52AW00/21UKST:21NG_KFM.PNT\hist00,,,,,,,,0,1000,,,,,,
