Tag Name;Address;Data Type;Respect Data Type;Client Access;Scan Rate;Scaling;Raw Low;Raw High;Scaled Low;Scaled High;Scaled Data Type;Clamp Low;Clamp High;Eng Units;Description;Negate Value
42FS101;52AW00/42KONV:42FS101.PNT\hist00;;;;;;;;0;7805.845;;;;м3/ч;F ГА Блок. в смесит. 2;
42FS102;52AW00/42KONV:42FS102.PNT\hist00;;;;;;;;0;62466.89;;;;м3/ч;F возд (В) Блок. в смесит. 2;
42G101;52AW00/42KONV:42G101.PNT\hist00;;;;;;;;0;100;;;;%;Клап.Соотн ГА/Возд положение;
42P101A;52AW00/42KONV:42P101A.PNT\hist00;;;;;;;;0;10;;;;кг/см2;"Р ГА в смеситель 2 ";
42P101B;52AW00/42KONV:42P101B.PNT\hist00;;;;;;;;0;10;;;;кг/см2;"Р ГА в смеситель 2 ";
42P127A;52AW00/42KONV:42P127A.PNT\hist00;;;;;;;;0;10;;;;кг/см2;Р возд (А) в смесит. 2;
42P127B;52AW00/42KONV:42P127B.PNT\hist00;;;;;;;;0;10;;;;кг/см2;Р возд (В) в смесит. 2;
42T101A;52AW00/42KONV:42T101A.PNT\hist00;;;;;;;;0;200;;;;град.С;"Т ГА в смеситель 2 ";
42T101B;52AW00/42KONV:42T101B.PNT\hist00;;;;;;;;0;200;;;;град.С;"Т ГА в смеситель 2 ";
42T127A;52AW00/42KONV:42T127A.PNT\hist00;;;;;;;;0;200;;;;град.С;Т возд (А) в смесит. 2;
42T127B;52AW00/42KONV:42T127B.PNT\hist00;;;;;;;;0;200;;;;град.С;Т возд (В) в смесит. 2;
42T103;52AW00/42KONV:42T103.PNT\hist00;;;;;;;;0;400;;;;град.С;Т НГ на Вых. КУН;
42TS102_1;52AW00/42KONV:42TS102_1.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т под сетками конт. Апар.п.2;
42TS102_2;52AW00/42KONV:42TS102_2.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т под сетками конт. Апар.п.2;
42TS102_3;52AW00/42KONV:42TS102_3.PNT\hist00;;;;;;;;0;1100;;;;град.С;Т под сетками конт. Апар.п.2;
42PS176;52AW00/42MASLO:42PS176.PNT\hist00;;;;;;;;0;10;;;;кг/см2;"Р напорного масла ";
42T170_1;52AW00/42MASLO:42T170_1.PNT\hist00;;;;;;;;0;100;;;;град.С;Т масла до маслоохлад.;
42T170_2;52AW00/42MASLO:42T170_2.PNT\hist00;;;;;;;;0;100;;;;град.С;Т масла за маслоохлад.;
42HCV101;52AW00/42NH3:42HCV101.PNT\hist00;;;;;;;;0;100;;;;%;Дист. упр. клап.ГА в завод. сеть;
42LC108;52AW00/42NH3:42LC108.PNT\hist00;;;;;;;;700;1100;;;;мм;Рег.L ЖА в испарит. 11;
42LCV108;52AW00/42NH3:42LCV108.PNT\hist00;;;;;;;;0;100;;;;%;Клап.рег.L ЖА в испарит. 11;
42PC110;52AW00/42NH3:42PC110.PNT\hist00;;;;;;;;0;20;;;;кг/см2;Рег.Р ГА подач.Пар за испарит. 11;
42PCV110;52AW00/42NH3:42PCV110.PNT\hist00;;;;;;;;0;100;;;;%;Клап.рег.Р ГА за испарит. 11;
